"","기업명","모집내용","지원자격","근무조건/근무지역","마감일/등록일"
"311","진네트웍스","방화벽 및 정보보호 솔루션 엔지니어 모집(경력/신입)
백엔드/서버개발정보보안IT컨설팅네트워크방화벽 외
","신입 · 경력
대학(2,3년)↑","정규직
서울 금천구
3,000만원 (면접 후 협의)","입사지원
~ 05/31(화)
(2일 전 등록)"
"312","매스프레소","취업축하금 50만원
Data Engineer (데이터 엔지니어)
앱개발SE(시스템엔지니어)데이터마이닝데이터시각화빅데이터 외","1 ~ 15년
학력무관","정규직
서울전체","입사지원
상시채용
(258일 전 등록)"
"313","먼슬리키친","디자인설계/기획설계.시공감리/&시설유지보수 경험자라면 먼키:D
건축디자인경관디자인공간디자인공공디자인실내디자인 외
","경력 5년↑
학력무관","정규직 · 프리랜서
서울 강남구","채용 홈페이지
~ 04/12(화)
(51일 전 등록)"
"314","한국코퍼레이션","[정규직] PC관리 및 유지보수 신입/경력 모집
기술지원데이터엔지니어백엔드/서버개발유지보수정보보안 외","경력무관
대학(2,3년)↑","정규직
서울 강북구","입사지원
~ 05/01(일)
(2일 전 등록)"
"315","주식회사 도해코리아","액셀러레이션 팀 리더
경영기획사업기획전략기획사업개발M&A
","경력 7년↑
대학교(4년)↑","정규직
서울 송파구","입사지원
~ 04/22(금)
(41일 전 등록)"
"316","트릿지","시니어 데이터 분석가 채용(Data Scientist)
빅데이터ETL데이터분석딥러닝머신러닝 외","경력 3년↑
박사","정규직
서울 서초구","홈페이지 지원
~ 05/01(일)
(2일 전 등록)"
"317","트릿지","페이먼트 솔루션 기획자 채용 (경력 3년 이상)
솔루션클라우드서비스기획앱기획웹기획 외","경력 3년↑
학력무관","정규직
서울 서초구","홈페이지 지원
~ 05/01(일)
(2일 전 등록)"
"318","가온데이터","시스템 운영관리자(중급 이상), CM 배포 관리자 채용
백엔드/서버개발SE(시스템엔지니어)인프라H/WLinux
","경력무관
대학(2,3년)↑","정규직 · 프리랜서
서울 서초구","입사지원
채용시
(2일 전 등록)"
"319","지투이","펌웨어개발자 모집(경력자)
데이터분석가데이터엔지니어정보보안임베디드정보통신 외
","신입 · 경력
대학(2,3년)↑","정규직
서울 구로구","채용 홈페이지
채용시
(12일 전 등록)"
"320","트릿지","프로덕트 매니저 인턴 채용 (3개월 정규직 전환형)
PM(프로젝트매니저)","신입
학력무관","인턴직
서울 서초구","홈페이지 지원
~ 05/01(일)
(2일 전 등록)"
"321","트릿지","프로덕트 매니저 채용
PM(프로젝트매니저)","경력 1년↑
학력무관","정규직
서울 서초구","홈페이지 지원
~ 05/01(일)
(2일 전 등록)"
"322","유니원아이앤씨","2022 상반기 IT인프라 UNIX, x86 엔지니어 경력&신입 채용
유지보수솔루션네트워크인프라VMware 외","신입 · 경력
대학교(4년)↑","정규직
서울 영등포구
3,000만원 (면접 후 협의)","입사지원
~ 04/14(목)
(2일 전 등록)"
"323","커뮤니케이션앤컬쳐","[커뮤니케이션앤컬쳐] 데이터분석가 채용 (신입/경력)
데이터분석가데이터엔지니어데이터라벨링데이터마이닝데이터시각화 외
","경력무관
학력무관","정규직
서울 강남구","입사지원
내일마감
(2일 전 등록)"
"324","제이엔테크놀러지","IT Infra 시스템 구축 / 기술지원
기술지원데이터분석가데이터엔지니어백엔드/서버개발앱개발 외
","신입 · 경력
대학교(4년)↑","정규직
서울 구로구","입사지원
~ 04/17(일)
(13일 전 등록)"
"325","코아시아
코아시아그룹","정보전략팀(IT) 경력직 채용 공고
데이터엔지니어ERP솔루션","8 ~ 12년
학력무관","정규직
서울 송파구","입사지원
~ 04/30(토)
(17일 전 등록)"
"326","다우기술
다우키움그룹","IDC 보안 엔지니어 경력사원 채용
보안컨설팅정보보안모의해킹방화벽악성코드 외
","5 ~ 12년
대학(2,3년)↑","정규직
서울 마포구","홈페이지 지원
~ 04/20(수)
(2일 전 등록)"
"327","휴머스온
휴머스온그룹","취업축하금 50만원
데이터 사이언티스트
데이터분석가데이터엔지니어데이터마이닝데이터시각화딥러닝 외","3 ~ 10년
대학교(4년)↑","정규직
서울전체","입사지원
~ 05/02(월)
(90일 전 등록)"
"328","워시스왓","[세탁특공대] Business Analyst
경영분석데이터분석사업관리시장조사실적관리 외","경력 2년↑
학력무관","정규직
서울 서초구","홈페이지 지원
~ 04/10(일)
(2일 전 등록)"
"329","오티아이","오티아이㈜ 각 부문 신입 및 경력직 채용
네트워크IDCS/WAndroidiOS 외","신입 · 경력
대학교(4년)↑","정규직 · 계약직
서울 서초구","입사지원
~ 04/17(일)
(2일 전 등록)"
"330","블록크래프터스","[산업기능요원 보충역] Researcher/엔지니어 채용
웹개발Python통계/분석리서치블록체인 외","경력 1년↑
고졸↑","정규직 · 병역특례
서울 서초구
3,600만원","입사지원
상시채용
(2일 전 등록)"
"331","블록크래프터스","[산업기능요원 보충역] 엔지니어 채용
백엔드/서버개발웹개발프론트엔드JavaPython 외","경력 1년↑
고졸↑","정규직 · 병역특례
서울 서초구
3,600만원","입사지원
상시채용
(2일 전 등록)"
"332","넥사","점포 시설유지 보수 및 사후관리자 [[먼키]] 외식플랫폼계열사
유지보수설비점검가스설비건조설비건축설비 외","경력 3년↑
학력무관","정규직
서울 강남구","입사지원
오늘마감
(2일 전 등록)"
"333","알티캐스트
휴맥스그룹","취업축하금 50만원
서버/백엔드 개발자(3년이상) 채용
백엔드/서버개발웹개발DBASE(시스템엔지니어)딥러닝 외","3 ~ 10년
대학교(4년)↑","정규직
서울전체","입사지원
~ 04/30(토)
(4일 전 등록)"
"334","SECO","SECO 2022년도 채용전환형 인턴사원 모집
감사세무사AICPAKICPA관리회계 외","신입
대학교(4년)↑","인턴직
경기 시흥시","홈페이지 지원
~ 04/10(일)
(2일 전 등록)"
"335","스테이지파이브
카카오그룹","[카카오 계열사] STAGE FIVE 핀다이렉트샵 서비스기획자(UX/UI)
서비스기획앱기획웹기획PM(프로젝트매니저)PO(프로덕트오너) 외","4 ~ 8년
대학교(4년)↑","정규직
서울 송파구","입사지원
~ 04/30(토)
(27일 전 등록)"
"336","라인웍스","[라인웍스/의료 데이터 분석 기업] 연구개발매니저 채용
경영기획사업기획사업제휴신사업기획신사업발굴 외
","경력무관
대학교(4년)↑","정규직
서울 서초구","입사지원
상시채용
(2일 전 등록)"
"337","알고리고","[알고리고]생체신호 분석 머신러닝 엔지니어 채용(미래차 부문)
데이터분석가머신러닝빅데이터IoTAI(인공지능) 외
","신입 · 경력
대학교(4년)↑","정규직 · 병역특례
서울 강남구","입사지원
채용시
(18일 전 등록)"
"338","아이유노글로벌","[Iyuno-SDI Group] Data I/O Technician (데이터 I/O 담당자)
데이터엔지니어데이터마이닝영상편집인제스트/인코딩","신입
학력무관","정규직
서울 마포구","입사지원
~ 04/20(수)
(4일 전 등록)"
"339","아이유노글로벌","[사세확장 / Iyuno-SDI Group] 개발팀 엔지니어 채용
데이터분석가데이터엔지니어앱개발웹개발SE(시스템엔지니어) 외","경력무관
학력무관","정규직
서울 마포구","입사지원
~ 04/13(수)
(12일 전 등록)"
"340","올라핀테크","데이터 엔지니어 모집
데이터엔지니어머신러닝빅데이터알고리즘AWS 외
","경력무관
학력무관","정규직
서울 강남구","입사지원
~ 04/07(목)
(26일 전 등록)"
"341","대영채비","대영채비(주) 2022년 상반기 채용 공고
H/WS/W전기제어전기설비유지보수 외","신입 · 경력
대학교(4년)↑","정규직
서울 서초구","입사지원
~ 05/01(일)
(2일 전 등록)"
"342","그린카
롯데그룹","2022년 각 부문 신입/경력 채용
데이터분석가데이터엔지니어백엔드/서버개발앱개발웹개발 외","신입 · 경력
대학(2,3년)↑","정규직 · 계약직
서울 강남구","입사지원
~ 04/30(토)
(4일 전 등록)"
"343","라이트비전","컴퓨터비전 엔지니어 채용
컴퓨터비전S/W블록체인솔루션알고리즘 외","경력 3년↑
석사↑","정규직
서울 성동구
3,000만원 (면접 후 협의)","입사지원
~ 04/14(목)
(2일 전 등록)"
"344","캐논코리아 주식회사
롯데그룹","생산직 외 각 부문 채용
손익관리원가관리원가회계경영지원노무사 외","신입 · 경력
고졸↑","정규직 · 계약직
경기 안산시","입사지원
내일마감
(5일 전 등록)"
"345","로민","솔루션운영 엔지니어 정규직 채용
딥러닝머신러닝솔루션컴퓨터비전API 외
","경력무관
대학교(4년)↑","정규직
서울 서초구","입사지원
채용시
(18일 전 등록)"
"346","휴머스온
휴머스온그룹","데이터엔지니어, 데이터 사이언티스트, 데이터 분석가 경력 모집
데이터분석가데이터마이닝데이터시각화빅데이터API 외
","경력 3년↑
대학교(4년)↑","정규직
서울 강남구","입사지원
~ 05/01(일)
(2일 전 등록)"
"347","휴머스온
휴머스온그룹","서비스 [개발/운영 엔지니어] [운영기획] [영업지원]
백엔드/서버개발웹개발APIJavaLinux 외
","경력 2년↑
대학교(4년)↑","정규직
서울 강남구","입사지원
~ 05/01(일)
(2일 전 등록)"
"348","제이투이","[Middleware SI 잠실] WAS(WEBLOGIC) 이관 업무 5개월 (3)
미들웨어IISWASC++R 외","경력 9년↑
대학(2,3년)↑","계약직 · 프리랜서
서울 송파구","입사지원
~ 04/07(목)
(2일 전 등록)"
"349","에이젠글로벌","취업축하금 50만원
[에이젠글로벌] Frontend 개발자
웹개발프론트엔드빅데이터ECMAScriptGraphQL 외","2 ~ 5년
대학교(4년)↑","정규직
서울전체","입사지원
~ 04/30(토)
(92일 전 등록)"
"350","에이젠글로벌","취업축하금 50만원
[에이젠글로벌]ML Engineer 직군 모집
데이터분석가백엔드/서버개발웹개발프론트엔드SE(시스템엔지니어) 외","3 ~ 5년
대학교(4년)↑","정규직
서울전체","입사지원
~ 04/30(토)
(92일 전 등록)"
"351","와이즐리컴퍼니","취업축하금 50만원
시니어 프론트엔드 엔지니어
웹개발퍼블리셔프론트엔드반응형웹웹표준·웹접근성 외","5 ~ 10년
학력무관","정규직
서울전체","입사지원
~ 04/30(토)
(149일 전 등록)"
"352","퍼솔켈리코리아","[한국화웨이] 네트워크 & IT 엔지니어직군(언어무관/경력)
백엔드/서버개발SE(시스템엔지니어)네트워크방화벽정보통신 외","경력 1년↑
대학교(4년)↑","계약직 · 파견직
서울 중구","입사지원
~ 04/27(수)
(6일 전 등록)"
"353","푸드테크
우아한형제들그룹","22년 상반기 푸드테크 각 부문 신입/경력직 모집
데이터분석가데이터엔지니어SE(시스템엔지니어)데이터마이닝데이터시각화 외","경력
학력무관","정규직
서울 강남구","입사지원
~ 04/15(금)
(12일 전 등록)"
"354","존스랑라살
존스랑라살그룹","[JLL] 디지털 통합 관리자 - 대리과장급
기술지원데이터분석가데이터엔지니어백엔드/서버개발웹개발 외","경력 5년↑
대학교(4년)↑","정규직
서울 영등포구","입사지원
~ 05/01(일)
(2일 전 등록)"
"355","베올리아산업개발코리아
베올리아그룹","기술 지원 엔지니어 (Technical Support Engineer)
대기환경기사폐기물처리기사환경설계환경플랜트
","경력 6년↓
학력무관","정규직
서울 중구","입사지원
~ 04/22(금)
(2일 전 등록)"
"356","주식회사 에너슨","MySQL DB 엔지니어 / 데이터 엔지니어 채용공고 (정규직)
DBALinuxPL/SQLSQL크롤링 외
","경력 1년↑
학력무관","정규직
서울 송파구","입사지원
채용시
(2일 전 등록)"
"357","크립텍스","키오스크 솔루션 고도화-델파이 경력직 인원 구함
데이터엔지니어백엔드/서버개발앱개발프론트엔드솔루션 외","경력 5년↑
대학(2,3년)↑","정규직
서울 용산구
50,000만원","입사지원
~ 04/30(토)
(12일 전 등록)"
"358","매스프레소","취업축하금 50만원
DevOps Engineer (데브옵스 엔지니어)
백엔드/서버개발웹개발DBASE(시스템엔지니어)인프라 외","8 ~ 20년
학력무관","정규직
서울전체","입사지원
상시채용
(268일 전 등록)"
"359","매스프레소","취업축하금 50만원
[제품 개발] Backend Developer (백엔드 개발자)
백엔드/서버개발웹개발SE(시스템엔지니어)블록체인인프라 외","3 ~ 15년
학력무관","정규직
서울전체","입사지원
상시채용
(258일 전 등록)"
"360","매스프레소","취업축하금 50만원
Data Analyst (데이터 분석가)
데이터분석가백엔드/서버개발앱개발웹개발SE(시스템엔지니어) 외","1 ~ 15년
학력무관","정규직
서울전체","입사지원
상시채용
(256일 전 등록)"
"361","진네트웍스","방화벽 및 정보보호 솔루션 엔지니어 모집(경력/신입)
백엔드/서버개발정보보안IT컨설팅네트워크방화벽 외
","신입 · 경력
대학(2,3년)↑","정규직
서울 금천구
3,000만원 (면접 후 협의)","입사지원
~ 05/31(화)
(2일 전 등록)"
"362","매스프레소","취업축하금 50만원
Data Engineer (데이터 엔지니어)
앱개발SE(시스템엔지니어)데이터마이닝데이터시각화빅데이터 외","1 ~ 15년
학력무관","정규직
서울전체","입사지원
상시채용
(258일 전 등록)"
"363","먼슬리키친","디자인설계/기획설계.시공감리/&시설유지보수 경험자라면 먼키:D
건축디자인경관디자인공간디자인공공디자인실내디자인 외
","경력 5년↑
학력무관","정규직 · 프리랜서
서울 강남구","채용 홈페이지
~ 04/12(화)
(51일 전 등록)"
"364","한국코퍼레이션","[정규직] PC관리 및 유지보수 신입/경력 모집
기술지원데이터엔지니어백엔드/서버개발유지보수정보보안 외","경력무관
대학(2,3년)↑","정규직
서울 강북구","입사지원
~ 05/01(일)
(2일 전 등록)"
"365","주식회사 도해코리아","액셀러레이션 팀 리더
경영기획사업기획전략기획사업개발M&A
","경력 7년↑
대학교(4년)↑","정규직
서울 송파구","입사지원
~ 04/22(금)
(41일 전 등록)"
